settlement_id,order_id,settlement_date,type,gross_amount,marketplace_fee,shipping_fee,net_amount
ST-1100040,MLB-110032,2026-07-04,payment,2284.33,-388.34,-21.90,1874.09
ST-1100043,MLB-110035,2026-07-04,payment,4181.01,-668.96,-39.90,3472.15
ST-1100008,MLB-110006,2026-07-05,payment,387.00,-69.66,-21.90,295.44
ST-1100004,MLB-110003,2026-07-06,payment,98.42,-17.72,-21.90,58.80
ST-1100027,MLB-110020,2026-07-06,payment,52.06,-15.10,0.00,36.96
ST-1100018,MLB-110013,2026-07-07,payment,6295.17,-1070.18,-21.90,5203.09
ST-1100029,MLB-110023,2026-07-08,payment,419.91,-75.58,-21.90,322.43
ST-1100019,MLB-110014,2026-07-09,payment,768.52,-122.96,-21.90,623.66
ST-1100001,MLB-110001,2026-07-10,payment,62.03,-10.34,-21.90,29.79
ST-1100028,MLB-110021,2026-07-11,payment,148.88,-30.37,-21.90,96.61
ST-1100034,MLB-110027,2026-07-11,payment,1053.57,-189.64,-21.90,842.03
ST-1100009,MLB-110006,2026-07-12,refund,-387.00,69.66,0.00,-317.34
ST-1100010,MLB-110007,2026-07-13,payment,28.99,-11.47,0.00,17.52
ST-1100038,MLB-110030,2026-07-13,payment,286.19,-28.62,-21.90,235.67
ST-1100003,MLB-110002,2026-07-14,payment,195.36,-23.44,-21.90,150.02
ST-1100016,MLB-110011,2026-07-14,payment,225.39,-57.07,-21.90,146.42
ST-1100023,MLB-110016,2026-07-14,payment,75.90,-22.37,0.00,53.53
ST-1100020,MLB-110014,2026-07-16,refund,-768.52,122.96,0.00,-645.56
ST-1100033,MLB-110026,2026-07-16,payment,1637.60,-245.64,-21.90,1370.06
ST-1100042,MLB-110034,2026-07-16,payment,123.32,-33.46,-21.90,67.96
ST-1100002,MLB-110001,2026-07-17,payment,41.35,0.00,0.00,41.35
ST-1100013,MLB-110009,2026-07-17,payment,36.34,-19.16,0.00,17.18
ST-1100017,MLB-110012,2026-07-17,payment,459.59,-55.15,-39.90,364.54
ST-1100044,MLB-110026,2026-07-17,payment,1637.60,-245.64,-21.90,1370.06
ST-1100041,MLB-110033,2026-07-18,payment,35.49,-10.15,0.00,25.34
ST-1100036,MLB-110029,2026-07-20,payment,29.36,-10.07,0.00,19.29
ST-1100039,MLB-110031,2026-07-23,payment,639.50,-108.72,-39.90,490.88
ST-1100006,MLB-110005,2026-07-24,payment,761.72,-126.95,-21.90,612.87
ST-1100014,MLB-110009,2026-07-24,payment,24.22,0.00,0.00,24.22
ST-1100035,MLB-110028,2026-07-24,payment,293.49,-44.02,-21.90,227.57
ST-1100011,MLB-110007,2026-07-25,chargeback,-28.99,0.00,0.00,-28.99
ST-1100015,MLB-110010,2026-07-26,payment,171.87,-35.94,-21.90,114.03
ST-1100030,MLB-110024,2026-07-26,payment,1496.98,-254.49,-21.90,1220.59
ST-1100031,MLB-110025,2026-07-26,payment,279.34,-30.73,-21.90,226.71
ST-1100025,MLB-110018,2026-07-27,payment,269.80,-43.17,-21.90,204.73
ST-1100037,MLB-110029,2026-07-27,refund,-8.81,3.02,0.00,-5.79
ST-1100021,MLB-110015,2026-07-28,payment,33.86,-13.02,0.00,20.84
ST-1100024,MLB-110017,2026-07-29,payment,250.23,-27.53,-21.90,200.80
ST-1100012,MLB-110008,2026-07-30,payment,4447.50,-533.70,-39.90,3873.90
ST-1100007,MLB-110005,2026-07-31,payment,507.81,0.00,0.00,507.81
ST-1100032,MLB-110025,2026-08-02,refund,-279.34,30.73,0.00,-248.61
ST-1100026,MLB-110018,2026-08-03,refund,-107.92,17.27,0.00,-90.65
ST-1100022,MLB-110015,2026-08-04,payment,22.58,0.00,0.00,22.58
