order_id,order_date,status,category,listing_type,weight_class,unit_price,quantity,gross_amount,installments,refund_amount
MLB-120001,2026-07-26,paid,toys,premium,standard,37.41,1,37.41,1,0.00
MLB-120002,2026-07-04,delivered,electronics,classic,standard,171.54,1,171.54,3,0.00
MLB-120003,2026-07-18,refunded,fashion,premium,standard,21.96,2,43.92,10,43.92
MLB-120004,2026-07-12,delivered,home,premium,heavy,1552.91,1,1552.91,1,0.00
MLB-120005,2026-07-18,refunded,electronics,premium,heavy,416.78,2,833.56,3,833.56
MLB-120006,2026-07-10,cancelled,books,classic,standard,177.87,2,355.74,1,0.00
MLB-120007,2026-07-21,delivered,toys,premium,standard,994.93,1,994.93,1,0.00
MLB-120008,2026-07-23,delivered,toys,premium,standard,153.84,3,461.52,10,0.00
MLB-120009,2026-07-08,paid,electronics,classic,heavy,1373.94,1,1373.94,1,0.00
MLB-120010,2026-07-07,partially_refunded,toys,premium,standard,1882.45,1,1882.45,3,1129.47
MLB-120011,2026-07-08,delivered,fashion,classic,standard,106.19,2,212.38,1,0.00
MLB-120012,2026-07-24,delivered,toys,classic,standard,203.93,3,611.79,3,0.00
MLB-120013,2026-07-08,cancelled,books,classic,standard,75.18,2,150.36,1,0.00
MLB-120014,2026-07-13,paid,toys,premium,standard,791.65,2,1583.30,10,0.00
MLB-120015,2026-07-04,paid,home,classic,heavy,684.67,3,2054.01,3,0.00
MLB-120016,2026-07-16,delivered,home,classic,standard,308.46,1,308.46,1,0.00
MLB-120017,2026-07-06,paid,books,premium,standard,143.71,1,143.71,12,0.00
MLB-120018,2026-07-17,paid,toys,classic,standard,1015.76,2,2031.52,1,0.00
MLB-120019,2026-07-16,paid,fashion,classic,standard,37.57,2,75.14,1,0.00
MLB-120020,2026-07-18,paid,toys,premium,standard,71.93,3,215.79,1,0.00
MLB-120021,2026-07-01,delivered,electronics,premium,heavy,421.56,1,421.56,1,0.00
MLB-120022,2026-07-26,delivered,home,classic,standard,91.12,1,91.12,1,0.00
MLB-120023,2026-07-20,cancelled,toys,classic,standard,34.49,1,34.49,1,0.00
