settlement_id,order_id,settlement_date,type,gross_amount,marketplace_fee,shipping_fee,net_amount
ST-1000002,MLB-100002,2026-07-04,payment,398.92,-63.83,-21.90,313.19
ST-1000135,MLB-100121,2026-07-04,payment,312.13,-34.33,-21.90,255.90
ST-1000182,MLB-100166,2026-07-04,payment,53.73,-25.20,0.00,28.53
ST-1000212,MLB-100192,2026-07-04,payment,150.26,-36.54,-21.90,91.82
ST-1000245,MLB-100222,2026-07-04,payment,1228.71,-196.59,-39.90,992.22
ST-1000289,MLB-100258,2026-07-04,payment,85.55,-12.83,-21.90,50.82
ST-1000334,MLB-100297,2026-07-04,payment,48.30,-24.55,0.00,23.75
ST-1000335,MLB-100298,2026-07-04,payment,323.77,-51.80,-21.90,250.07
ST-1000055,MLB-100052,2026-07-05,payment,393.18,-47.18,-21.90,324.10
ST-1000057,MLB-100053,2026-07-05,payment,292.10,-32.13,-21.90,238.07
ST-1000069,MLB-100063,2026-07-05,payment,394.14,-43.36,-21.90,328.88
ST-1000076,MLB-100070,2026-07-05,payment,2724.84,-499.55,-39.90,2185.39
ST-1000105,MLB-100094,2026-07-05,payment,37.38,-16.99,0.00,20.39
ST-1000195,MLB-100178,2026-07-05,payment,70.12,-14.66,0.00,55.46
ST-1000198,MLB-100181,2026-07-05,payment,118.24,-32.60,-21.90,63.74
ST-1000224,MLB-100203,2026-07-05,payment,1025.06,-153.76,-21.90,849.40
ST-1000005,MLB-100005,2026-07-06,payment,4765.26,-524.18,-39.90,4201.18
ST-1000008,MLB-100008,2026-07-06,payment,68.90,-24.21,0.00,44.69
ST-1000037,MLB-100034,2026-07-06,payment,5396.13,-647.54,-39.90,4708.69
ST-1000039,MLB-100036,2026-07-06,payment,2968.47,-474.96,-39.90,2453.61
ST-1000054,MLB-100050,2026-07-06,payment,76.77,-19.30,0.00,57.47
ST-1000075,MLB-100069,2026-07-06,payment,432.18,-73.47,-39.90,318.81
ST-1000094,MLB-100084,2026-07-06,payment,18.25,-9.54,0.00,8.71
ST-1000098,MLB-100087,2026-07-06,payment,358.71,-46.63,-21.90,290.18
ST-1000109,MLB-100098,2026-07-06,payment,586.72,-99.74,-21.90,465.08
ST-1000149,MLB-100134,2026-07-06,payment,228.09,-29.65,-21.90,176.54
