settlement_id,order_id,settlement_date,type,gross_amount,marketplace_fee,shipping_fee,net_amount
ST-1300004,MLB-130005,2026-07-04,payment,1943.27,-252.63,-21.90,1668.74
ST-1300015,MLB-130015,2026-07-04,payment,2409.21,-433.66,-21.90,1953.65
ST-1300090,MLB-130084,2026-07-04,payment,6357.69,-1080.81,-21.90,5254.98
ST-1300151,MLB-130141,2026-07-04,payment,53.01,-15.26,0.00,37.75
ST-1300030,MLB-130028,2026-07-05,payment,72.52,-20.48,0.00,52.04
ST-1300044,MLB-130040,2026-07-05,payment,2212.83,-265.54,-39.90,1907.39
ST-1300108,MLB-130099,2026-07-05,payment,764.92,-130.04,-21.90,612.98
ST-1300152,MLB-130142,2026-07-05,payment,346.28,-62.33,-21.90,262.05
ST-1300039,MLB-130035,2026-07-06,payment,38.61,-10.88,0.00,27.73
ST-1300050,MLB-130047,2026-07-06,payment,55.64,-11.81,0.00,43.83
ST-1300055,MLB-130052,2026-07-06,payment,17.93,-8.58,0.00,9.35
ST-1300088,MLB-130082,2026-07-06,payment,443.96,-53.28,-21.90,368.78
ST-1300099,MLB-130091,2026-07-06,payment,2043.27,-224.76,-39.90,1778.61
ST-1300113,MLB-130103,2026-07-06,payment,759.42,-136.70,-21.90,600.82
ST-1300134,MLB-130124,2026-07-06,payment,30.61,-9.62,0.00,20.99
ST-1300138,MLB-130128,2026-07-06,payment,33.54,-11.28,0.00,22.26
ST-1300100,MLB-130092,2026-07-07,payment,341.52,-37.57,-21.90,282.05
ST-1300127,MLB-130116,2026-07-07,payment,111.47,-18.95,-21.90,70.62
ST-1300154,MLB-130145,2026-07-07,payment,78.27,-18.77,0.00,59.50
ST-1300159,MLB-130149,2026-07-07,payment,62.70,-14.40,0.00,48.30
ST-1300023,MLB-130021,2026-07-08,payment,201.67,-34.28,-21.90,145.49
ST-1300078,MLB-130073,2026-07-08,payment,194.84,-35.07,-21.90,137.87
ST-1300102,MLB-130094,2026-07-08,payment,38.71,-12.83,0.00,25.88
ST-1300120,MLB-130110,2026-07-08,payment,340.68,-57.92,-21.90,260.86
ST-1300027,MLB-130025,2026-07-09,payment,478.42,-57.41,-39.90,381.11
ST-1300043,MLB-130039,2026-07-09,payment,48.63,-11.60,0.00,37.03
ST-1300075,MLB-130071,2026-07-09,payment,17.03,-8.29,0.00,8.74
ST-1300086,MLB-130080,2026-07-09,payment,244.32,-41.53,-21.90,180.89
ST-1300048,MLB-130043,2026-07-10,payment,196.17,-25.50,-21.90,148.77
ST-1300085,MLB-130079,2026-07-10,payment,624.42,-106.15,-21.90,496.37
ST-1300103,MLB-130095,2026-07-10,payment,669.81,-66.98,-21.90,580.93
ST-1300112,MLB-130102,2026-07-10,payment,832.64,-141.55,-21.90,669.19
ST-1300139,MLB-130130,2026-07-10,payment,4029.42,-604.41,-21.90,3403.11
ST-1300142,MLB-130133,2026-07-10,payment,308.41,-40.09,-21.90,246.42
ST-1300145,MLB-130136,2026-07-10,payment,1828.82,-329.19,-21.90,1477.73
ST-1300001,MLB-130001,2026-07-11,payment,190.08,-26.61,-21.90,141.57
ST-1300005,MLB-130005,2026-07-11,refund,-1943.27,252.63,0.00,-1690.64
ST-1300014,MLB-130014,2026-07-11,payment,3949.40,-552.92,-39.90,3356.58
ST-1300024,MLB-130022,2026-07-11,payment,390.65,-46.88,-21.90,321.87
ST-1300071,MLB-130067,2026-07-11,payment,327.89,-32.79,-21.90,273.20
ST-1300141,MLB-130132,2026-07-11,payment,559.44,-50.35,-21.90,487.19
ST-1300148,MLB-130138,2026-07-11,payment,32.57,-9.18,0.00,23.39
ST-1300002,MLB-130002,2026-07-12,payment,351.59,-49.22,-21.90,280.47
ST-1300031,MLB-130028,2026-07-12,refund,-14.50,4.10,0.00,-10.40
ST-1300035,MLB-130032,2026-07-12,payment,1541.40,-184.97,-39.90,1316.53
ST-1300105,MLB-130097,2026-07-12,payment,22.42,-9.39,0.00,13.03
ST-1300135,MLB-130125,2026-07-12,payment,1095.51,-186.24,-21.90,887.37
ST-1300143,MLB-130134,2026-07-12,payment,1460.34,-189.84,-21.90,1248.60
ST-1300003,MLB-130004,2026-07-13,payment,454.59,-63.64,-39.90,351.05
ST-1300056,MLB-130052,2026-07-13,refund,-3.59,0.00,0.00,-3.59
ST-1300091,MLB-130085,2026-07-13,payment,624.38,-112.39,-21.90,490.09
ST-1300121,MLB-130111,2026-07-13,payment,7345.50,-881.46,-39.90,6424.14
ST-1300006,MLB-130006,2026-07-14,payment,360.25,-50.44,-21.90,287.91
ST-1300061,MLB-130057,2026-07-14,payment,64.40,-17.20,0.00,47.20
ST-1300073,MLB-130069,2026-07-14,payment,6361.44,-826.99,-21.90,5512.55
ST-1300080,MLB-130074,2026-07-14,payment,691.12,-62.20,-21.90,607.02
ST-1300110,MLB-130101,2026-07-14,payment,18.12,-9.33,0.00,8.79
ST-1300115,MLB-130105,2026-07-14,payment,66.19,-18.16,0.00,48.03
ST-1300160,MLB-130149,2026-07-14,refund,-37.62,8.64,0.00,-28.98
ST-1300007,MLB-130007,2026-07-15,payment,139.58,-19.54,-21.90,98.14
ST-1300040,MLB-130036,2026-07-15,payment,741.96,-133.55,-21.90,586.51
ST-1300052,MLB-130049,2026-07-15,payment,2740.16,-328.82,-39.90,2371.44
ST-1300066,MLB-130062,2026-07-15,payment,4886.00,-586.32,-39.90,4259.78
ST-1300072,MLB-130068,2026-07-15,payment,176.22,-21.15,-21.90,133.17
ST-1300079,MLB-130073,2026-07-15,refund,-194.84,35.07,0.00,-159.77
ST-1300124,MLB-130113,2026-07-15,payment,42.63,-13.50,0.00,29.13
ST-1300129,MLB-130118,2026-07-15,payment,65.76,-19.08,0.00,46.68
ST-1300158,MLB-130148,2026-07-15,payment,3679.66,-551.95,-21.90,3105.81
ST-1300008,MLB-130008,2026-07-16,payment,29.92,-10.44,0.00,19.48
ST-1300032,MLB-130029,2026-07-16,payment,228.24,-46.14,-21.90,160.20
ST-1300161,MLB-130150,2026-07-16,payment,19.80,-9.62,0.00,10.18
ST-1300009,MLB-130009,2026-07-17,payment,6761.55,-946.62,-39.90,5775.03
ST-1300029,MLB-130027,2026-07-17,payment,23.23,-9.27,0.00,13.96
ST-1300089,MLB-130083,2026-07-17,payment,6039.57,-543.56,-39.90,5456.11
ST-1300095,MLB-130088,2026-07-17,payment,19.96,-9.04,0.00,10.92
ST-1300125,MLB-130114,2026-07-17,payment,291.26,-29.13,-21.90,240.23
ST-1300132,MLB-130122,2026-07-17,payment,183.92,-22.07,-21.90,139.95
ST-1300010,MLB-130010,2026-07-18,payment,3092.49,-278.32,-39.90,2774.27
ST-1300038,MLB-130034,2026-07-18,payment,60.78,-12.33,0.00,48.45
ST-1300045,MLB-130041,2026-07-18,payment,2175.06,-217.51,-21.90,1935.65
ST-1300065,MLB-130061,2026-07-18,payment,245.04,-29.40,-21.90,193.74
ST-1300083,MLB-130077,2026-07-18,payment,934.76,-112.17,-39.90,782.69
ST-1300087,MLB-130081,2026-07-18,payment,1903.53,-247.46,-21.90,1634.17
ST-1300131,MLB-130120,2026-07-18,payment,16.92,-8.79,0.00,8.13
ST-1300157,MLB-130147,2026-07-18,payment,40.04,-18.51,0.00,21.53
ST-1300011,MLB-130011,2026-07-19,payment,105.52,-27.27,-21.90,56.35
ST-1300022,MLB-130020,2026-07-19,payment,1037.57,-134.88,-21.90,880.79
ST-1300025,MLB-130023,2026-07-19,payment,6700.47,-670.05,-21.90,6008.52
ST-1300028,MLB-130026,2026-07-19,payment,1580.73,-205.49,-21.90,1353.34
ST-1300033,MLB-130030,2026-07-19,payment,34.50,-11.43,0.00,23.07
ST-1300053,MLB-130050,2026-07-19,payment,781.67,-140.70,-21.90,619.07
ST-1300067,MLB-130063,2026-07-19,payment,125.72,-21.37,-21.90,82.45
ST-1300082,MLB-130075,2026-07-19,payment,5084.79,-610.17,-21.90,4452.72
ST-1300106,MLB-130097,2026-07-19,refund,-15.69,6.57,0.00,-9.12
ST-1300123,MLB-130112,2026-07-19,payment,33.41,-11.93,0.00,21.48
ST-1300012,MLB-130012,2026-07-20,payment,424.29,-67.89,-39.90,316.50
ST-1300059,MLB-130055,2026-07-20,payment,4091.08,-695.48,-39.90,3355.70
ST-1300092,MLB-130085,2026-07-20,refund,-624.38,112.39,0.00,-511.99
ST-1300096,MLB-130089,2026-07-20,payment,15.09,-8.06,0.00,7.03
ST-1300118,MLB-130108,2026-07-20,payment,166.26,-19.95,-21.90,124.41
ST-1300119,MLB-130109,2026-07-20,payment,312.34,-53.10,-21.90,237.34
ST-1300122,MLB-130111,2026-07-20,refund,-7345.50,881.46,0.00,-6464.04
ST-1300013,MLB-130013,2026-07-21,payment,792.20,-110.91,-39.90,641.39
ST-1300081,MLB-130074,2026-07-21,refund,-691.12,62.20,0.00,-628.92
ST-1300111,MLB-130101,2026-07-21,refund,-18.12,9.33,0.00,-8.79
ST-1300117,MLB-130107,2026-07-21,payment,955.86,-133.82,-21.90,800.14
ST-1300126,MLB-130115,2026-07-21,payment,3497.78,-314.80,-39.90,3143.08
ST-1300128,MLB-130117,2026-07-21,payment,31.99,-10.73,0.00,21.26
ST-1300041,MLB-130037,2026-07-22,payment,4044.86,-525.83,-21.90,3497.13
ST-1300054,MLB-130051,2026-07-22,payment,522.08,-83.53,-21.90,416.65
ST-1300069,MLB-130065,2026-07-22,payment,69.22,-13.86,0.00,55.36
ST-1300093,MLB-130086,2026-07-22,payment,4363.16,-698.11,-39.90,3625.15
ST-1300146,MLB-130137,2026-07-22,payment,1588.24,-190.59,-39.90,1357.75
ST-1300018,MLB-130018,2026-07-23,payment,367.55,-62.48,-21.90,283.17
ST-1300051,MLB-130048,2026-07-23,payment,308.43,-49.35,-21.90,237.18
ST-1300098,MLB-130090,2026-07-23,payment,2366.42,-402.29,-39.90,1924.23
ST-1300114,MLB-130104,2026-07-24,payment,285.65,-42.85,-21.90,220.90
ST-1300116,MLB-130106,2026-07-24,payment,63.18,-16.36,0.00,46.82
ST-1300155,MLB-130146,2026-07-24,payment,64.96,-13.40,0.00,51.56
ST-1300046,MLB-130041,2026-07-25,refund,-1087.53,108.76,0.00,-978.77
ST-1300130,MLB-130119,2026-07-25,payment,3199.72,-383.97,-39.90,2775.85
ST-1300058,MLB-130054,2026-07-26,payment,129.18,-42.00,-21.90,65.28
ST-1300062,MLB-130058,2026-07-26,payment,6528.27,-783.39,-21.90,5722.98
ST-1300063,MLB-130059,2026-07-26,payment,146.24,-28.59,-21.90,95.75
ST-1300076,MLB-130072,2026-07-26,payment,6057.99,-1029.86,-21.90,5006.23
ST-1300109,MLB-130100,2026-07-26,payment,22.78,-8.53,0.00,14.25
ST-1300150,MLB-130140,2026-07-26,payment,1611.75,-257.88,-39.90,1313.97
ST-1300017,MLB-130017,2026-07-27,payment,73.13,-15.76,0.00,57.37
ST-1300097,MLB-130089,2026-07-27,refund,-6.04,3.22,0.00,-2.82
ST-1300101,MLB-130093,2026-07-27,payment,131.08,-22.28,-21.90,86.90
ST-1300104,MLB-130096,2026-07-27,payment,110.41,-18.77,-21.90,69.74
ST-1300020,MLB-130019,2026-07-28,payment,96.81,-16.46,-21.90,58.45
ST-1300036,MLB-130033,2026-07-28,payment,75.94,-20.09,0.00,55.85
ST-1300049,MLB-130046,2026-07-28,payment,74.69,-18.20,0.00,56.49
ST-1300060,MLB-130056,2026-07-28,payment,597.16,-71.66,-21.90,503.60
ST-1300084,MLB-130078,2026-07-28,payment,38.59,-10.11,0.00,28.48
ST-1300133,MLB-130123,2026-07-28,payment,5791.80,-579.18,-21.90,5190.72
ST-1300137,MLB-130127,2026-07-28,payment,1920.75,-211.28,-39.90,1669.57
ST-1300144,MLB-130135,2026-07-28,payment,312.85,-46.93,-21.90,244.02
ST-1300153,MLB-130144,2026-07-28,payment,789.56,-94.75,-21.90,672.91
ST-1300026,MLB-130024,2026-07-29,payment,2084.33,-208.43,-21.90,1854.00
ST-1300047,MLB-130042,2026-07-29,payment,56.04,-11.85,0.00,44.19
ST-1300064,MLB-130060,2026-07-29,payment,295.60,-50.25,-21.90,223.45
ST-1300074,MLB-130070,2026-07-29,payment,134.14,-25.91,-21.90,86.33
