settlement_id,order_id,settlement_date,type,gross_amount,marketplace_fee,shipping_fee,net_amount
ST-0500022,MLB-050019,2026-07-04,payment,215.37,-40.29,-21.90,153.18
ST-0500048,MLB-050041,2026-07-04,payment,462.09,-55.45,-21.90,384.74
ST-0500052,MLB-050045,2026-07-04,payment,580.30,-75.44,-21.90,482.96
ST-0500012,MLB-050009,2026-07-05,payment,434.84,-73.92,-21.90,339.02
ST-0500027,MLB-050024,2026-07-05,payment,269.04,-26.90,-21.90,220.24
ST-0500034,MLB-050030,2026-07-05,payment,34.03,-12.04,0.00,21.99
ST-0500049,MLB-050042,2026-07-05,payment,58.26,-16.15,0.00,42.11
ST-0500021,MLB-050018,2026-07-06,payment,225.64,-29.33,-21.90,174.41
ST-0500025,MLB-050021,2026-07-06,payment,1070.34,-117.74,-39.90,912.70
ST-0500043,MLB-050037,2026-07-06,payment,1548.96,-232.34,-21.90,1294.72
ST-0500002,MLB-050002,2026-07-07,payment,153.12,-22.97,-21.90,108.25
ST-0500036,MLB-050032,2026-07-08,payment,36.42,-19.78,0.00,16.64
ST-0500026,MLB-050023,2026-07-09,payment,363.23,-54.48,-21.90,286.85
ST-0500055,MLB-050048,2026-07-09,payment,882.56,-132.38,-21.90,728.28
ST-0500010,MLB-050008,2026-07-10,payment,427.63,-76.97,-21.90,328.76
ST-0500035,MLB-050030,2026-07-12,refund,-23.82,8.43,0.00,-15.39
ST-0500045,MLB-050038,2026-07-12,payment,58.85,-16.84,0.00,42.01
ST-0500044,MLB-050037,2026-07-13,refund,-1548.96,232.34,0.00,-1316.62
ST-0500020,MLB-050017,2026-07-14,payment,648.78,-64.88,-21.90,562.00
ST-0500057,MLB-050050,2026-07-14,payment,70.38,-23.76,0.00,46.62
ST-0500059,MLB-050031,2026-07-14,payment,29.53,-9.79,0.00,19.74
ST-0500003,MLB-050003,2026-07-15,payment,366.23,-61.04,-21.90,283.29
ST-0500015,MLB-050012,2026-07-15,payment,3904.71,-468.57,-21.90,3414.24
ST-0500037,MLB-050032,2026-07-15,payment,24.28,0.00,0.00,24.28
ST-0500042,MLB-050036,2026-07-16,payment,624.88,-99.98,-21.90,503.00
ST-0500009,MLB-050007,2026-07-17,payment,3334.98,-433.55,-21.90,2879.53
ST-0500011,MLB-050008,2026-07-17,refund,-299.34,53.88,0.00,-245.46
ST-0500018,MLB-050015,2026-07-17,payment,138.80,-36.10,-21.90,80.80
ST-0500028,MLB-050025,2026-07-17,payment,1403.53,-168.42,-21.90,1213.21
ST-0500030,MLB-050027,2026-07-17,payment,1576.06,-267.93,-39.90,1268.23
ST-0500032,MLB-050028,2026-07-17,payment,69.61,-18.08,0.00,51.53
ST-0500033,MLB-050029,2026-07-17,payment,1101.24,-176.20,-39.90,885.14
ST-0500040,MLB-050035,2026-07-17,payment,1942.06,-291.31,-21.90,1628.85
ST-0500039,MLB-050034,2026-07-19,payment,135.06,-38.05,-21.90,75.11
ST-0500005,MLB-050004,2026-07-20,payment,548.53,-155.42,-21.90,371.21
ST-0500016,MLB-050013,2026-07-21,payment,101.16,-27.67,-21.90,51.59
ST-0500054,MLB-050047,2026-07-21,payment,867.22,-138.76,-39.90,688.56
ST-0500004,MLB-050003,2026-07-22,payment,244.16,0.00,0.00,244.16
ST-0500001,MLB-050001,2026-07-23,payment,967.75,-116.13,-21.90,829.72
ST-0500046,MLB-050039,2026-07-23,payment,1487.56,-178.51,-21.90,1287.15
ST-0500051,MLB-050044,2026-07-23,payment,46.90,-10.94,0.00,35.96
ST-0500053,MLB-050046,2026-07-23,payment,125.67,-13.82,-21.90,89.95
ST-0500007,MLB-050005,2026-07-24,payment,2360.91,-236.09,-21.90,2102.92
ST-0500041,MLB-050035,2026-07-24,refund,-1942.06,291.31,0.00,-1650.75
ST-0500056,MLB-050049,2026-07-24,payment,140.12,-21.02,-21.90,97.20
ST-0500013,MLB-050010,2026-07-25,payment,7380.78,-1254.73,-39.90,6086.15
ST-0500008,MLB-050006,2026-07-26,payment,304.80,-48.77,-21.90,234.13
ST-0500023,MLB-050020,2026-07-26,payment,23.04,-11.24,0.00,11.80
ST-0500047,MLB-050040,2026-07-26,payment,1661.28,-166.13,-21.90,1473.25
ST-0500006,MLB-050004,2026-07-27,payment,365.68,0.00,0.00,365.68
ST-0500017,MLB-050014,2026-07-27,payment,105.44,-30.42,-21.90,53.12
ST-0500029,MLB-050026,2026-07-27,payment,150.18,-36.53,-21.90,91.75
ST-0500031,MLB-050027,2026-07-29,chargeback,-1576.06,0.00,0.00,-1576.06
ST-0500014,MLB-050011,2026-07-30,payment,2257.16,-338.57,-21.90,1896.69
ST-0500038,MLB-050033,2026-07-31,payment,44.50,-13.82,0.00,30.68
ST-0500050,MLB-050043,2026-07-31,payment,853.88,-85.39,-21.90,746.59
ST-0500024,MLB-050020,2026-08-02,payment,15.36,0.00,0.00,15.36
