settlement_id,order_id,settlement_date,type,gross_amount,marketplace_fee,shipping_fee,net_amount
ST-0100029,MLB-010026,2026-07-04,payment,343.18,-58.34,-21.90,262.94
ST-0100023,MLB-010022,2026-07-05,payment,155.04,-35.80,-21.90,97.34
ST-0100005,MLB-010005,2026-07-07,payment,236.52,-44.77,-21.90,169.85
ST-0100027,MLB-010025,2026-07-07,payment,894.36,-143.10,-39.90,711.36
ST-0100014,MLB-010015,2026-07-09,payment,4945.42,-741.81,-21.90,4181.71
ST-0100008,MLB-010007,2026-07-10,payment,1767.09,-300.41,-39.90,1426.78
ST-0100010,MLB-010009,2026-07-10,payment,24.11,-9.14,0.00,14.97
ST-0100011,MLB-010010,2026-07-10,payment,96.16,-26.92,-21.90,47.34
ST-0100002,MLB-010002,2026-07-11,payment,24.42,-9.18,0.00,15.24
ST-0100028,MLB-010025,2026-07-14,refund,-536.62,85.86,0.00,-450.76
ST-0100001,MLB-010001,2026-07-15,payment,1021.55,-132.80,-21.90,866.85
ST-0100017,MLB-010017,2026-07-15,payment,1307.19,-143.79,-39.90,1123.50
ST-0100015,MLB-010015,2026-07-16,refund,-4945.42,741.81,0.00,-4203.61
ST-0100016,MLB-010016,2026-07-16,payment,434.44,-43.44,-21.90,369.10
ST-0100019,MLB-010018,2026-07-16,payment,4730.78,-520.39,-39.90,4170.49
ST-0100012,MLB-010012,2026-07-18,payment,360.45,-43.25,-21.90,295.30
ST-0100020,MLB-010019,2026-07-18,payment,181.30,-21.76,-21.90,137.64
ST-0100034,MLB-010029,2026-07-19,payment,6214.50,-683.60,-39.90,5491.00
ST-0100009,MLB-010008,2026-07-21,payment,25.33,-10.30,0.00,15.03
ST-0100018,MLB-010017,2026-07-22,refund,-1307.19,143.79,0.00,-1163.40
ST-0100024,MLB-010023,2026-07-23,payment,19.18,-9.32,0.00,9.86
ST-0100003,MLB-010003,2026-07-24,payment,4719.86,-707.98,-21.90,3989.98
ST-0100013,MLB-010014,2026-07-24,payment,1154.56,-138.55,-21.90,994.11
ST-0100035,MLB-010030,2026-07-24,payment,200.76,-48.86,-21.90,130.00
ST-0100021,MLB-010020,2026-07-27,payment,354.70,-39.02,-21.90,293.78
ST-0100030,MLB-010027,2026-07-28,payment,26.07,-10.94,0.00,15.13
ST-0100006,MLB-010006,2026-07-29,payment,116.60,-31.16,-21.90,63.54
ST-0100032,MLB-010028,2026-07-29,payment,170.07,-44.26,-21.90,103.91
ST-0100022,MLB-010021,2026-07-30,payment,4528.53,-543.42,-21.90,3963.21
ST-0100025,MLB-010024,2026-07-30,payment,322.18,-85.92,-39.90,196.36
ST-0100004,MLB-010004,2026-07-31,payment,390.27,-50.74,-21.90,317.63
ST-0100031,MLB-010027,2026-08-04,refund,-26.07,10.94,0.00,-15.13
ST-0100033,MLB-010028,2026-08-05,refund,-68.03,17.70,0.00,-50.33
ST-0100026,MLB-010024,2026-08-06,payment,214.79,0.00,0.00,214.79
ST-0100007,MLB-010006,2026-08-10,chargeback,-116.60,0.00,0.00,-116.60
