order_id,order_date,status,category,listing_type,weight_class,unit_price,quantity,gross_amount,installments,refund_amount
MLB-010001,2026-07-04,delivered,toys,classic,standard,594.09,1,594.09,1,0.00
MLB-010002,2026-07-07,chargeback,toys,premium,standard,36.18,1,36.18,6,0.00
MLB-010003,2026-07-16,paid,books,premium,standard,123.61,3,370.83,3,0.00
MLB-010004,2026-07-28,delivered,electronics,premium,standard,295.37,1,295.37,10,0.00
MLB-010005,2026-07-06,delivered,books,premium,standard,221.69,1,221.69,10,0.00
MLB-010006,2026-07-04,paid,electronics,classic,standard,35.77,1,35.77,1,0.00
MLB-010007,2026-07-17,paid,electronics,classic,heavy,977.03,2,1954.06,3,0.00
MLB-010008,2026-07-22,delivered,books,classic,standard,118.19,3,354.57,1,0.00
MLB-010009,2026-07-05,paid,electronics,classic,heavy,981.71,2,1963.42,1,0.00
MLB-010010,2026-07-21,paid,books,classic,standard,2387.22,1,2387.22,3,0.00
MLB-010011,2026-07-06,delivered,electronics,premium,standard,247.43,2,494.86,1,0.00
MLB-010012,2026-07-21,refunded,toys,classic,standard,1154.56,1,1154.56,1,1154.56
MLB-010013,2026-07-06,delivered,books,premium,standard,2472.71,2,4945.42,6,0.00
MLB-010014,2026-07-13,paid,books,classic,standard,434.44,1,434.44,1,0.00
MLB-010015,2026-07-12,paid,electronics,classic,heavy,435.73,3,1307.19,1,0.00
MLB-010016,2026-07-13,paid,electronics,classic,heavy,2365.39,2,4730.78,1,0.00
MLB-010017,2026-07-15,paid,home,classic,standard,90.65,2,181.30,1,0.00
MLB-010018,2026-07-24,paid,electronics,classic,standard,354.70,1,354.70,1,0.00
MLB-010019,2026-07-27,paid,toys,classic,standard,1509.51,3,4528.53,3,0.00
MLB-010020,2026-07-02,paid,electronics,classic,standard,51.68,3,155.04,1,0.00
MLB-010021,2026-07-20,paid,electronics,premium,standard,19.18,1,19.18,1,0.00
MLB-010022,2026-07-27,delivered,electronics,premium,heavy,536.97,1,536.97,1,0.00
MLB-010023,2026-07-20,delivered,electronics,premium,heavy,894.36,1,894.36,3,0.00
MLB-010024,2026-07-09,paid,electronics,premium,heavy,1214.96,2,2429.92,6,0.00
MLB-010025,2026-07-25,refunded,fashion,classic,standard,804.55,1,804.55,1,804.55
MLB-010026,2026-07-11,cancelled,home,premium,standard,56.69,3,170.07,1,0.00
MLB-010027,2026-07-16,delivered,electronics,classic,heavy,2071.50,3,6214.50,1,0.00
MLB-010028,2026-07-25,partially_refunded,books,premium,standard,66.92,3,200.76,10,140.53
MLB-010029,2026-07-22,paid,fashion,classic,standard,728.96,1,728.96,3,0.00
MLB-010030,2026-07-22,paid,fashion,premium,standard,1480.47,3,4441.41,3,0.00
MLB-010031,2026-07-15,refunded,fashion,premium,standard,39.17,1,39.17,3,39.17
MLB-010032,2026-07-24,delivered,books,classic,standard,23.05,3,69.15,3,0.00
MLB-010033,2026-07-13,paid,toys,classic,standard,25.16,3,75.48,3,0.00
MLB-010034,2026-07-14,paid,toys,classic,standard,1527.72,1,1527.72,3,0.00
MLB-010035,2026-07-02,paid,toys,premium,standard,61.04,2,122.08,10,0.00
MLB-010036,2026-07-24,cancelled,books,premium,standard,1123.53,1,1123.53,10,0.00
MLB-010037,2026-07-15,paid,fashion,classic,standard,1026.45,1,1026.45,1,0.00
MLB-010038,2026-07-13,delivered,books,classic,standard,390.09,1,390.09,1,0.00
MLB-010039,2026-07-08,paid,home,classic,standard,20.93,1,20.93,1,0.00
MLB-010040,2026-07-01,partially_refunded,electronics,premium,standard,61.26,1,61.26,3,24.50
