order_id,order_date,status,category,listing_type,weight_class,unit_price,quantity,gross_amount,installments,refund_amount
MLB-090001,2026-07-19,delivered,books,premium,standard,548.69,1,548.69,12,0.00
MLB-090002,2026-07-28,paid,electronics,premium,standard,32.15,1,32.15,6,0.00
MLB-090003,2026-07-17,paid,books,premium,standard,1056.38,1,1056.38,12,0.00
MLB-090004,2026-07-14,delivered,fashion,classic,standard,78.83,1,78.83,1,0.00
MLB-090005,2026-07-18,partially_refunded,toys,classic,standard,129.42,3,388.26,1,77.65
MLB-090006,2026-07-23,delivered,home,premium,standard,24.25,1,24.25,1,0.00
MLB-090007,2026-07-16,paid,books,premium,standard,16.83,1,16.83,10,0.00
MLB-090008,2026-07-22,paid,electronics,classic,standard,355.56,1,355.56,1,0.00
MLB-090009,2026-07-18,delivered,home,classic,standard,91.10,1,91.10,3,0.00
MLB-090010,2026-07-17,delivered,home,classic,standard,328.74,1,328.74,1,0.00
MLB-090011,2026-07-19,refunded,electronics,classic,heavy,2195.13,3,6585.39,1,6585.39
MLB-090012,2026-07-23,refunded,electronics,premium,standard,332.67,1,332.67,6,332.67
MLB-090013,2026-07-26,delivered,toys,classic,standard,1198.38,1,1198.38,3,0.00
MLB-090014,2026-07-11,paid,home,classic,standard,48.88,1,48.88,1,0.00
MLB-090015,2026-07-13,paid,books,premium,standard,163.10,1,163.10,12,0.00
MLB-090016,2026-07-15,paid,home,premium,standard,266.81,3,800.43,10,0.00
MLB-090017,2026-07-05,chargeback,electronics,premium,heavy,1889.99,1,1889.99,6,0.00
MLB-090018,2026-07-01,delivered,home,premium,standard,131.40,1,131.40,3,0.00
MLB-090019,2026-07-14,paid,fashion,premium,standard,306.29,1,306.29,6,0.00
MLB-090020,2026-07-07,paid,fashion,premium,standard,151.99,1,151.99,6,0.00
MLB-090021,2026-07-10,cancelled,electronics,classic,standard,104.62,3,313.86,1,0.00
MLB-090022,2026-07-14,delivered,electronics,classic,standard,44.34,3,133.02,1,0.00
MLB-090023,2026-07-24,delivered,electronics,premium,standard,275.99,1,275.99,6,0.00
MLB-090024,2026-07-05,paid,fashion,premium,standard,1084.98,2,2169.96,3,0.00
MLB-090025,2026-07-01,delivered,toys,premium,standard,1287.89,3,3863.67,10,0.00
MLB-090026,2026-07-24,delivered,toys,classic,standard,2460.73,2,4921.46,1,0.00
MLB-090027,2026-07-22,paid,home,classic,standard,396.29,1,396.29,1,0.00
MLB-090028,2026-07-24,delivered,fashion,classic,standard,39.66,3,118.98,3,0.00
MLB-090029,2026-07-13,paid,home,premium,heavy,1661.54,1,1661.54,1,0.00
MLB-090030,2026-07-12,paid,home,premium,standard,18.35,3,55.05,10,0.00
MLB-090031,2026-07-03,paid,fashion,premium,standard,65.47,3,196.41,10,0.00
MLB-090032,2026-07-10,delivered,toys,premium,standard,45.05,1,45.05,1,0.00
MLB-090033,2026-07-26,delivered,toys,premium,standard,1621.11,2,3242.22,10,0.00
MLB-090034,2026-07-17,delivered,toys,classic,standard,162.79,1,162.79,1,0.00
MLB-090035,2026-07-27,paid,home,premium,heavy,2064.15,1,2064.15,12,0.00
MLB-090036,2026-07-02,delivered,fashion,premium,standard,131.95,2,263.90,10,0.00
MLB-090037,2026-07-07,paid,home,premium,standard,64.50,2,129.00,12,0.00
MLB-090038,2026-07-19,cancelled,books,premium,standard,277.87,3,833.61,3,0.00
MLB-090039,2026-07-03,delivered,fashion,premium,standard,407.48,1,407.48,1,0.00
MLB-090040,2026-07-07,delivered,toys,classic,standard,420.71,1,420.71,1,0.00
MLB-090041,2026-07-25,delivered,home,premium,heavy,1901.57,1,1901.57,10,0.00
MLB-090042,2026-07-19,paid,electronics,premium,standard,375.42,1,375.42,1,0.00
MLB-090043,2026-07-09,delivered,fashion,classic,standard,1082.94,1,1082.94,1,0.00
MLB-090044,2026-07-20,delivered,fashion,premium,standard,1494.62,3,4483.86,1,0.00
MLB-090045,2026-07-05,paid,electronics,premium,standard,20.48,2,40.96,10,0.00
MLB-090046,2026-07-09,paid,electronics,classic,standard,44.88,1,44.88,1,0.00
MLB-090047,2026-07-23,refunded,home,premium,heavy,1628.78,1,1628.78,1,1628.78
MLB-090048,2026-07-25,partially_refunded,books,premium,standard,2465.28,1,2465.28,10,739.58
MLB-090049,2026-07-13,delivered,electronics,classic,heavy,1860.68,1,1860.68,1,0.00
MLB-090050,2026-07-28,paid,toys,premium,standard,96.37,1,96.37,3,0.00
