settlement_id,order_id,settlement_date,type,gross_amount,marketplace_fee,shipping_fee,net_amount
ST-0900008,MLB-090007,2026-07-04,payment,45.07,-12.11,0.00,32.96
ST-0900051,MLB-090041,2026-07-04,payment,278.78,-47.39,-21.90,209.49
ST-0900052,MLB-090042,2026-07-04,payment,3539.38,-637.09,-21.90,2880.39
ST-0900079,MLB-090065,2026-07-04,payment,476.09,-61.89,-21.90,392.30
ST-0900094,MLB-090077,2026-07-04,payment,38.37,-11.24,0.00,27.13
ST-0900240,MLB-090202,2026-07-04,payment,219.82,-37.37,-21.90,160.55
ST-0900277,MLB-090231,2026-07-04,payment,4673.70,-701.06,-21.90,3950.74
ST-0900278,MLB-090232,2026-07-04,payment,846.16,-84.62,-21.90,739.64
ST-0900034,MLB-090028,2026-07-05,payment,1891.30,-340.43,-21.90,1528.97
ST-0900082,MLB-090068,2026-07-05,payment,1173.87,-129.13,-21.90,1022.84
ST-0900162,MLB-090138,2026-07-05,payment,2967.27,-385.75,-21.90,2559.62
ST-0900204,MLB-090171,2026-07-05,payment,826.23,-107.41,-21.90,696.92
ST-0900222,MLB-090185,2026-07-05,payment,1441.94,-384.52,-39.90,1017.52
ST-0900281,MLB-090235,2026-07-05,payment,994.68,-179.04,-21.90,793.74
ST-0900289,MLB-090244,2026-07-05,payment,37.45,-11.12,0.00,26.33
ST-0900029,MLB-090025,2026-07-06,payment,380.97,-57.15,-21.90,301.92
ST-0900086,MLB-090071,2026-07-06,payment,30.76,-17.42,0.00,13.34
ST-0900088,MLB-090073,2026-07-06,payment,2495.86,-399.34,-39.90,2056.62
ST-0900116,MLB-090095,2026-07-06,payment,403.29,-52.43,-21.90,328.96
ST-0900125,MLB-090104,2026-07-06,payment,312.48,-53.12,-21.90,237.46
ST-0900201,MLB-090168,2026-07-06,payment,3594.78,-431.37,-21.90,3141.51
ST-0900256,MLB-090215,2026-07-06,payment,2581.24,-438.81,-39.90,2102.53
ST-0900273,MLB-090228,2026-07-06,payment,37.00,-10.69,0.00,26.31
ST-0900280,MLB-090234,2026-07-06,payment,49.37,-14.64,0.00,34.73
ST-0900291,MLB-090246,2026-07-06,payment,662.00,-112.54,-21.90,527.56
ST-0900025,MLB-090022,2026-07-07,payment,205.20,-55.69,-21.90,127.61
ST-0900050,MLB-090040,2026-07-07,payment,1247.78,-187.17,-21.90,1038.71
ST-0900105,MLB-090087,2026-07-07,payment,2272.51,-335.42,-39.90,1897.19
