settlement_id,order_id,settlement_date,type,gross_amount,marketplace_fee,shipping_fee,net_amount
ST-0300001,MLB-030001,2026-07-04,payment,7042.50,-845.10,-21.90,6175.50
ST-0300005,MLB-030004,2026-07-05,payment,373.23,-51.69,-21.90,299.64
ST-0300009,MLB-030008,2026-07-05,payment,417.74,-71.02,-21.90,324.82
ST-0300012,MLB-030010,2026-07-06,payment,2128.12,-255.37,-39.90,1832.85
ST-0300027,MLB-030021,2026-07-06,payment,370.99,-63.07,-21.90,286.02
ST-0300050,MLB-030040,2026-07-07,payment,207.65,-35.30,-21.90,150.45
ST-0300016,MLB-030013,2026-07-08,payment,294.51,-38.29,-21.90,234.32
ST-0300036,MLB-030029,2026-07-08,payment,489.30,-83.18,-39.90,366.22
ST-0300014,MLB-030012,2026-07-09,payment,49.60,-11.71,0.00,37.89
ST-0300008,MLB-030007,2026-07-10,payment,264.58,-29.10,-21.90,213.58
ST-0300013,MLB-030011,2026-07-10,payment,2825.06,-367.26,-21.90,2435.90
ST-0300051,MLB-030011,2026-07-11,payment,2825.06,-367.26,-21.90,2435.90
ST-0300006,MLB-030006,2026-07-13,payment,411.06,-49.33,-21.90,339.83
ST-0300037,MLB-030030,2026-07-13,payment,78.53,-15.67,0.00,62.86
ST-0300028,MLB-030022,2026-07-14,payment,1854.18,-185.42,-21.90,1646.86
ST-0300046,MLB-030036,2026-07-14,payment,1942.38,-233.09,-39.90,1669.39
ST-0300015,MLB-030012,2026-07-16,refund,-49.60,11.71,0.00,-37.89
ST-0300023,MLB-030018,2026-07-16,payment,1266.32,-215.27,-39.90,1011.15
ST-0300026,MLB-030020,2026-07-16,payment,5114.31,-869.43,-21.90,4222.98
ST-0300049,MLB-030039,2026-07-16,payment,222.89,-40.12,-21.90,160.87
ST-0300004,MLB-030003,2026-07-17,payment,1948.07,-233.77,-21.90,1692.40
ST-0300020,MLB-030016,2026-07-17,payment,907.28,-117.95,-21.90,767.43
ST-0300038,MLB-030031,2026-07-17,payment,239.36,-35.90,-21.90,181.56
ST-0300031,MLB-030024,2026-07-18,payment,64.74,-16.61,0.00,48.13
ST-0300010,MLB-030009,2026-07-19,payment,21.51,-11.63,0.00,9.88
ST-0300033,MLB-030026,2026-07-20,payment,236.72,-39.45,-21.90,175.37
ST-0300029,MLB-030022,2026-07-21,refund,-927.09,92.71,0.00,-834.38
ST-0300047,MLB-030037,2026-07-21,payment,359.37,-43.12,-21.90,294.35
ST-0300048,MLB-030038,2026-07-22,payment,1375.01,-237.46,-21.90,1115.65
ST-0300040,MLB-030032,2026-07-23,payment,379.74,-37.97,-21.90,319.87
ST-0300035,MLB-030027,2026-07-24,payment,600.62,-102.11,-21.90,476.61
ST-0300039,MLB-030031,2026-07-24,refund,-239.36,35.90,0.00,-203.46
ST-0300007,MLB-030006,2026-07-25,chargeback,-411.06,0.00,0.00,-411.06
ST-0300017,MLB-030014,2026-07-25,payment,194.09,-38.82,-21.90,133.37
ST-0300044,MLB-030035,2026-07-25,payment,978.81,-277.33,-39.90,661.58
ST-0300011,MLB-030009,2026-07-26,payment,14.34,0.00,0.00,14.34
ST-0300024,MLB-030019,2026-07-26,payment,257.86,-51.57,-39.90,166.39
ST-0300032,MLB-030025,2026-07-26,payment,130.38,-42.22,-21.90,66.26
ST-0300030,MLB-030023,2026-07-27,payment,286.47,-45.84,-21.90,218.73
ST-0300034,MLB-030026,2026-07-27,payment,157.81,0.00,0.00,157.81
ST-0300002,MLB-030002,2026-07-29,payment,545.58,-87.29,-21.90,436.39
ST-0300043,MLB-030034,2026-07-30,payment,145.32,-40.55,-21.90,82.87
ST-0300021,MLB-030017,2026-07-31,payment,1296.63,-155.60,-21.90,1119.13
ST-0300041,MLB-030033,2026-07-31,payment,1311.54,-284.17,-21.90,1005.47
ST-0300018,MLB-030014,2026-08-01,payment,129.40,0.00,0.00,129.40
ST-0300045,MLB-030035,2026-08-01,payment,652.54,0.00,0.00,652.54
ST-0300025,MLB-030019,2026-08-02,payment,171.90,0.00,0.00,171.90
ST-0300003,MLB-030002,2026-08-05,refund,-545.58,87.29,0.00,-458.29
ST-0300022,MLB-030017,2026-08-07,refund,-777.98,93.36,0.00,-684.62
ST-0300042,MLB-030033,2026-08-07,payment,874.36,0.00,0.00,874.36
