order_id,order_date,status,category,listing_type,weight_class,unit_price,quantity,gross_amount,installments,refund_amount
MLB-040001,2026-07-19,paid,electronics,premium,heavy,2220.16,1,2220.16,6,0.00
MLB-040002,2026-07-10,paid,books,classic,standard,75.98,1,75.98,1,0.00
MLB-040003,2026-07-09,delivered,books,premium,standard,334.65,2,669.30,12,0.00
MLB-040004,2026-07-02,cancelled,fashion,premium,standard,1118.10,1,1118.10,12,0.00
MLB-040005,2026-07-17,delivered,electronics,premium,standard,139.40,1,139.40,1,0.00
MLB-040006,2026-07-16,paid,fashion,classic,standard,415.16,2,830.32,1,0.00
MLB-040007,2026-07-18,delivered,fashion,premium,standard,234.85,1,234.85,10,0.00
MLB-040008,2026-07-28,paid,books,premium,standard,531.80,3,1595.40,3,0.00
MLB-040009,2026-07-01,delivered,toys,classic,standard,237.15,2,474.30,3,0.00
MLB-040010,2026-07-22,paid,books,premium,standard,136.42,1,136.42,1,0.00
MLB-040011,2026-07-13,paid,books,classic,standard,1264.05,1,1264.05,1,0.00
MLB-040012,2026-07-06,paid,toys,classic,standard,396.86,1,396.86,1,0.00
MLB-040013,2026-07-07,paid,home,premium,heavy,600.91,2,1201.82,1,0.00
MLB-040014,2026-07-14,partially_refunded,fashion,classic,standard,1971.84,1,1971.84,3,788.74
MLB-040015,2026-07-10,delivered,home,classic,heavy,501.91,1,501.91,3,0.00
MLB-040016,2026-07-18,paid,books,classic,standard,1930.92,2,3861.84,3,0.00
MLB-040017,2026-07-06,refunded,home,premium,standard,31.86,1,31.86,1,31.86
MLB-040018,2026-07-07,delivered,electronics,premium,standard,46.77,1,46.77,1,0.00
MLB-040019,2026-07-07,partially_refunded,home,premium,heavy,2455.66,1,2455.66,3,1718.96
MLB-040020,2026-07-15,delivered,toys,classic,standard,210.49,1,210.49,1,0.00
MLB-040021,2026-07-14,chargeback,electronics,classic,heavy,431.01,1,431.01,1,0.00
MLB-040022,2026-07-26,delivered,toys,premium,standard,1910.00,1,1910.00,3,0.00
MLB-040023,2026-07-23,delivered,electronics,classic,heavy,648.43,3,1945.29,3,0.00
MLB-040024,2026-07-08,paid,fashion,premium,standard,63.02,1,63.02,1,0.00
MLB-040025,2026-07-05,refunded,fashion,premium,standard,34.82,1,34.82,1,34.82
MLB-040026,2026-07-16,delivered,fashion,classic,standard,50.60,3,151.80,1,0.00
MLB-040027,2026-07-20,delivered,electronics,classic,standard,99.02,2,198.04,3,0.00
MLB-040028,2026-07-14,delivered,home,classic,standard,48.52,2,97.04,1,0.00
MLB-040029,2026-07-21,cancelled,toys,classic,standard,90.56,2,181.12,3,0.00
MLB-040030,2026-07-17,paid,fashion,premium,standard,1364.38,1,1364.38,12,0.00
MLB-040031,2026-07-06,delivered,toys,classic,standard,88.91,1,88.91,3,0.00
MLB-040032,2026-07-01,refunded,toys,classic,standard,957.62,2,1915.24,3,1915.24
MLB-040033,2026-07-17,delivered,fashion,classic,standard,39.70,1,39.70,1,0.00
MLB-040034,2026-07-02,paid,fashion,classic,standard,2090.65,3,6271.95,3,0.00
MLB-040035,2026-07-06,paid,home,classic,heavy,887.94,1,887.94,3,0.00
MLB-040036,2026-07-03,paid,books,premium,standard,2102.85,1,2102.85,1,0.00
MLB-040037,2026-07-06,paid,fashion,premium,standard,2074.10,1,2074.10,6,0.00
MLB-040038,2026-07-14,delivered,home,premium,standard,22.83,1,22.83,10,0.00
MLB-040039,2026-07-10,paid,electronics,classic,standard,183.43,1,183.43,1,0.00
MLB-040040,2026-07-18,paid,fashion,premium,standard,60.33,3,180.99,12,0.00
MLB-040041,2026-07-27,delivered,books,classic,standard,41.79,2,83.58,1,0.00
MLB-040042,2026-07-06,delivered,fashion,premium,standard,106.15,2,212.30,3,0.00
MLB-040043,2026-07-23,partially_refunded,electronics,classic,heavy,904.28,3,2712.84,1,542.57
MLB-040044,2026-07-20,paid,electronics,classic,heavy,426.16,1,426.16,1,0.00
MLB-040045,2026-07-06,paid,books,premium,standard,378.70,3,1136.10,12,0.00
MLB-040046,2026-07-09,delivered,electronics,classic,standard,211.96,1,211.96,1,0.00
MLB-040047,2026-07-28,paid,electronics,classic,standard,193.78,2,387.56,1,0.00
MLB-040048,2026-07-07,delivered,fashion,premium,standard,1245.51,2,2491.02,6,0.00
MLB-040049,2026-07-05,paid,toys,premium,standard,19.07,1,19.07,6,0.00
MLB-040050,2026-07-20,paid,home,premium,heavy,1014.36,3,3043.08,3,0.00
MLB-040051,2026-07-14,paid,fashion,premium,standard,436.79,2,873.58,6,0.00
MLB-040052,2026-07-11,paid,electronics,classic,heavy,471.38,1,471.38,1,0.00
MLB-040053,2026-07-08,delivered,books,premium,standard,1262.70,1,1262.70,1,0.00
MLB-040054,2026-07-10,delivered,books,classic,standard,23.64,1,23.64,1,0.00
MLB-040055,2026-07-08,delivered,fashion,premium,standard,229.48,2,458.96,10,0.00
MLB-040056,2026-07-13,cancelled,electronics,premium,standard,316.79,3,950.37,1,0.00
MLB-040057,2026-07-20,paid,home,classic,heavy,435.71,1,435.71,3,0.00
MLB-040058,2026-07-02,paid,electronics,premium,heavy,1278.12,1,1278.12,1,0.00
MLB-040059,2026-07-12,refunded,electronics,classic,standard,22.03,1,22.03,1,22.03
MLB-040060,2026-07-07,delivered,books,classic,standard,441.44,2,882.88,1,0.00
