settlement_id,order_id,settlement_date,type,gross_amount,marketplace_fee,shipping_fee,net_amount
ST-0400008,MLB-040009,2026-07-04,payment,474.30,-56.92,-21.90,395.48
ST-0400036,MLB-040032,2026-07-04,payment,1915.24,-229.83,-21.90,1663.51
ST-0400039,MLB-040034,2026-07-05,payment,6271.95,-815.35,-21.90,5434.70
ST-0400064,MLB-040058,2026-07-05,payment,1278.12,-204.50,-39.90,1033.72
ST-0400041,MLB-040036,2026-07-06,payment,2102.85,-315.43,-21.90,1765.52
ST-0400028,MLB-040025,2026-07-08,payment,34.82,-12.52,0.00,22.30
ST-0400055,MLB-040049,2026-07-08,payment,11.44,-9.49,0.00,1.95
ST-0400011,MLB-040012,2026-07-09,payment,396.86,-47.62,-21.90,327.34
ST-0400017,MLB-040017,2026-07-09,payment,31.86,-11.67,0.00,20.19
ST-0400035,MLB-040031,2026-07-09,payment,88.91,-10.67,-21.90,56.34
ST-0400040,MLB-040035,2026-07-09,payment,887.94,-106.55,-39.90,741.49
ST-0400042,MLB-040037,2026-07-09,payment,2074.10,-373.34,-21.90,1678.86
ST-0400047,MLB-040042,2026-07-09,payment,212.30,-38.21,-21.90,152.19
ST-0400051,MLB-040045,2026-07-09,payment,1136.10,-170.42,-21.90,943.78
ST-0400012,MLB-040013,2026-07-10,payment,1201.82,-204.31,-39.90,957.61
ST-0400019,MLB-040018,2026-07-10,payment,46.77,-13.73,0.00,33.04
ST-0400020,MLB-040019,2026-07-10,payment,2455.66,-417.46,-39.90,1998.30
ST-0400054,MLB-040048,2026-07-10,payment,2491.02,-448.38,-21.90,2020.74
ST-0400067,MLB-040060,2026-07-10,payment,882.88,-88.29,-39.90,754.69
ST-0400027,MLB-040024,2026-07-11,payment,63.02,-17.59,0.00,45.43
ST-0400037,MLB-040032,2026-07-11,refund,-1915.24,229.83,0.00,-1685.41
ST-0400060,MLB-040053,2026-07-11,payment,1262.70,-189.41,-21.90,1051.39
ST-0400062,MLB-040055,2026-07-11,payment,458.96,-82.61,-21.90,354.45
ST-0400003,MLB-040003,2026-07-12,payment,669.30,-100.40,-21.90,547.00
ST-0400052,MLB-040046,2026-07-12,payment,211.96,-23.32,-21.90,166.74
ST-0400068,MLB-049648,2026-07-12,payment,214.15,-27.84,0.00,186.31
ST-0400002,MLB-040002,2026-07-13,payment,75.98,-13.85,0.00,62.13
ST-0400015,MLB-040015,2026-07-13,payment,501.91,-60.23,-39.90,401.78
ST-0400044,MLB-040039,2026-07-13,payment,183.43,-20.18,-21.90,141.35
ST-0400061,MLB-040054,2026-07-13,payment,23.64,-8.61,0.00,15.03
ST-0400059,MLB-040052,2026-07-14,payment,471.38,-51.85,-39.90,379.63
ST-0400029,MLB-040025,2026-07-15,refund,-34.82,12.52,0.00,-22.30
ST-0400056,MLB-040049,2026-07-15,payment,7.63,0.00,0.00,7.63
ST-0400065,MLB-040059,2026-07-15,payment,22.03,-8.67,0.00,13.36
ST-0400010,MLB-040011,2026-07-16,payment,1264.05,-126.41,-21.90,1115.74
ST-0400018,MLB-040017,2026-07-16,refund,-31.86,11.67,0.00,-20.19
ST-0400013,MLB-040014,2026-07-17,payment,1971.84,-256.34,-21.90,1693.60
ST-0400021,MLB-040019,2026-07-17,refund,-1718.96,292.22,0.00,-1426.74
ST-0400023,MLB-040021,2026-07-17,payment,431.01,-47.41,-39.90,343.70
ST-0400032,MLB-040028,2026-07-17,payment,58.22,-24.14,-21.90,12.18
ST-0400043,MLB-040038,2026-07-17,payment,22.83,-10.13,0.00,12.70
ST-0400058,MLB-040051,2026-07-17,payment,873.58,-157.24,-21.90,694.44
ST-0400022,MLB-040020,2026-07-18,payment,210.49,-25.26,-21.90,163.33
ST-0400005,MLB-040006,2026-07-19,payment,830.32,-107.94,-21.90,700.48
ST-0400030,MLB-040026,2026-07-19,payment,151.80,-38.48,-21.90,91.42
ST-0400004,MLB-040005,2026-07-20,payment,139.40,-22.30,-21.90,95.20
ST-0400034,MLB-040030,2026-07-20,payment,1364.38,-245.59,-21.90,1096.89
ST-0400038,MLB-040033,2026-07-20,payment,39.70,-11.41,0.00,28.29
ST-0400006,MLB-040007,2026-07-21,payment,234.85,-42.27,-21.90,170.68
ST-0400016,MLB-040016,2026-07-21,payment,3861.84,-386.18,-21.90,3453.76
ST-0400045,MLB-040040,2026-07-21,payment,180.99,-51.33,-21.90,107.76
ST-0400001,MLB-040001,2026-07-22,payment,2220.16,-355.23,-39.90,1825.03
ST-0400066,MLB-040059,2026-07-22,refund,-22.03,8.67,0.00,-13.36
ST-0400031,MLB-040027,2026-07-23,payment,198.04,-21.78,-21.90,154.36
ST-0400050,MLB-040044,2026-07-23,payment,426.16,-46.88,-39.90,339.38
ST-0400057,MLB-040050,2026-07-23,payment,3043.08,-517.32,-61.80,2463.96
ST-0400063,MLB-040057,2026-07-23,payment,435.71,-52.29,-39.90,343.52
ST-0400014,MLB-040014,2026-07-24,refund,-788.74,102.54,0.00,-686.20
ST-0400033,MLB-040028,2026-07-24,payment,38.82,0.00,0.00,38.82
