order_id,order_date,status,category,listing_type,weight_class,unit_price,quantity,gross_amount,installments,refund_amount
MLB-020001,2026-07-19,delivered,fashion,premium,standard,159.30,3,477.90,10,0.00
MLB-020002,2026-07-21,cancelled,home,premium,heavy,415.05,1,415.05,10,0.00
MLB-020003,2026-07-18,delivered,electronics,classic,standard,15.16,1,15.16,1,0.00
MLB-020004,2026-07-16,paid,toys,premium,standard,416.98,1,416.98,10,0.00
MLB-020005,2026-07-17,paid,electronics,premium,standard,21.91,2,43.82,3,0.00
MLB-020006,2026-07-02,cancelled,books,classic,standard,74.87,1,74.87,1,0.00
MLB-020007,2026-07-12,refunded,electronics,premium,standard,32.08,1,32.08,1,32.08
MLB-020008,2026-07-15,delivered,fashion,premium,standard,53.71,1,53.71,10,0.00
MLB-020009,2026-07-18,paid,home,premium,heavy,534.07,2,1068.14,3,0.00
MLB-020010,2026-07-02,paid,fashion,premium,standard,2306.50,3,6919.50,6,0.00
MLB-020011,2026-07-02,paid,electronics,classic,standard,371.41,3,1114.23,1,0.00
MLB-020012,2026-07-16,delivered,fashion,classic,standard,20.35,3,61.05,1,0.00
MLB-020013,2026-07-01,paid,electronics,premium,standard,263.17,2,526.34,1,0.00
MLB-020014,2026-07-23,paid,books,classic,standard,2169.25,1,2169.25,1,0.00
MLB-020015,2026-07-02,paid,toys,classic,standard,2059.27,1,2059.27,1,0.00
MLB-020016,2026-07-26,paid,toys,premium,standard,26.32,3,78.96,10,0.00
MLB-020017,2026-07-22,paid,books,premium,standard,304.03,1,304.03,10,0.00
MLB-020018,2026-07-15,paid,fashion,premium,standard,602.48,3,1807.44,10,0.00
MLB-020019,2026-07-23,delivered,toys,premium,standard,827.46,2,1654.92,12,0.00
MLB-020020,2026-07-25,paid,electronics,classic,standard,301.09,1,301.09,1,0.00
MLB-020021,2026-07-17,paid,toys,classic,standard,1801.58,1,1801.58,1,0.00
MLB-020022,2026-07-13,paid,home,premium,heavy,2313.29,1,2313.29,12,0.00
MLB-020023,2026-07-13,paid,books,premium,standard,1786.21,1,1786.21,6,0.00
MLB-020024,2026-07-18,paid,fashion,classic,standard,2440.23,3,7320.69,1,0.00
MLB-020025,2026-07-10,delivered,home,premium,heavy,891.63,1,891.63,1,0.00
MLB-020026,2026-07-25,delivered,electronics,classic,standard,100.93,2,201.86,1,0.00
MLB-020027,2026-07-05,delivered,home,premium,heavy,1200.10,3,3600.30,3,0.00
MLB-020028,2026-07-28,delivered,books,premium,standard,1247.28,1,1247.28,1,0.00
