settlement_id,order_id,settlement_date,type,gross_amount,marketplace_fee,shipping_fee,net_amount
ST-0200012,MLB-020013,2026-07-04,payment,526.34,-84.21,-21.90,420.23
ST-0200065,MLB-020060,2026-07-04,payment,20.50,-12.40,0.00,8.10
ST-0200070,MLB-020063,2026-07-04,payment,54.82,-26.20,-21.90,6.72
ST-0200127,MLB-020109,2026-07-04,payment,62.52,-20.00,0.00,42.52
ST-0200160,MLB-020134,2026-07-04,payment,37.67,-12.28,0.00,25.39
ST-0200162,MLB-020136,2026-07-04,payment,42.73,-24.61,0.00,18.12
ST-0200009,MLB-020010,2026-07-05,payment,6919.50,-1245.51,-21.90,5652.09
ST-0200010,MLB-020011,2026-07-05,payment,1114.23,-122.57,-21.90,969.76
ST-0200014,MLB-020015,2026-07-05,payment,2059.27,-247.11,-21.90,1790.26
ST-0200038,MLB-020037,2026-07-05,payment,2442.66,-317.55,-21.90,2103.21
ST-0200058,MLB-020055,2026-07-05,payment,1672.83,-217.47,-21.90,1433.46
ST-0200164,MLB-020137,2026-07-05,payment,47.91,-24.02,0.00,23.89
ST-0200168,MLB-020141,2026-07-05,payment,94.92,-28.64,-21.90,44.38
ST-0200044,MLB-020042,2026-07-06,payment,2245.71,-247.03,-39.90,1958.78
ST-0200064,MLB-020059,2026-07-06,payment,211.54,-38.08,-21.90,151.56
ST-0200069,MLB-020062,2026-07-06,payment,454.24,-68.14,-21.90,364.20
ST-0200167,MLB-020140,2026-07-06,payment,1665.88,-199.91,-39.90,1426.07
ST-0200073,MLB-020065,2026-07-07,payment,2043.42,-510.86,-21.90,1510.66
ST-0200103,MLB-020088,2026-07-07,payment,758.52,-214.91,-21.90,521.71
ST-0200110,MLB-020093,2026-07-07,payment,1672.04,-267.53,-39.90,1364.61
ST-0200111,MLB-020094,2026-07-07,payment,7316.07,-1243.73,-39.90,6032.44
ST-0200116,MLB-020100,2026-07-07,payment,49.63,-14.19,0.00,35.44
ST-0200150,MLB-020127,2026-07-07,payment,44.95,-14.49,0.00,30.46
ST-0200154,MLB-020129,2026-07-07,payment,1861.19,-297.79,-39.90,1523.50
ST-0200165,MLB-020138,2026-07-07,payment,199.92,-42.74,-21.90,135.28
ST-0200177,MLB-020149,2026-07-07,payment,2431.72,-413.39,-39.90,1978.43
ST-0200027,MLB-020027,2026-07-08,payment,3600.30,-612.05,-39.90,2948.35
ST-0200033,MLB-020032,2026-07-08,payment,273.27,-46.46,-21.90,204.91
ST-0200048,MLB-020045,2026-07-08,payment,347.88,-38.27,-21.90,287.71
ST-0200092,MLB-020079,2026-07-08,payment,418.95,-50.27,-39.90,328.78
ST-0200128,MLB-020110,2026-07-08,payment,379.42,-101.18,-39.90,238.34
ST-0200080,MLB-020070,2026-07-09,payment,444.32,-48.88,-21.90,373.54
ST-0200101,MLB-020087,2026-07-09,payment,906.05,-181.21,-39.90,684.94
ST-0200105,MLB-020089,2026-07-09,payment,1087.63,-163.14,-21.90,902.59
ST-0200120,MLB-020104,2026-07-09,payment,26.20,-9.66,0.00,16.54
ST-0200130,MLB-020111,2026-07-09,payment,251.09,-30.13,-21.90,199.06
ST-0200140,MLB-020119,2026-07-09,payment,31.80,-11.66,0.00,20.14
ST-0200147,MLB-020125,2026-07-09,payment,43.70,-19.06,0.00,24.64
ST-0200148,MLB-020126,2026-07-10,payment,1341.65,-290.69,-21.90,1029.06
ST-0200052,MLB-020049,2026-07-11,payment,89.90,-22.39,-21.90,45.61
ST-0200066,MLB-020060,2026-07-11,payment,13.66,0.00,0.00,13.66
ST-0200071,MLB-020063,2026-07-11,payment,36.54,0.00,0.00,36.54
ST-0200078,MLB-020068,2026-07-11,payment,53.76,-12.16,0.00,41.60
ST-0200163,MLB-020136,2026-07-11,payment,28.49,0.00,0.00,28.49
ST-0200059,MLB-020055,2026-07-12,refund,-669.13,86.99,0.00,-582.14
ST-0200025,MLB-020025,2026-07-13,payment,891.63,-151.58,-39.90,700.15
ST-0200091,MLB-020078,2026-07-13,payment,4516.68,-677.50,-21.90,3817.28
ST-0200100,MLB-020086,2026-07-13,payment,65.48,-21.01,0.00,44.47
ST-0200145,MLB-020124,2026-07-13,payment,2425.57,-291.07,-39.90,2094.60
ST-0200043,MLB-020041,2026-07-14,payment,1298.52,-155.82,-21.90,1120.80
ST-0200074,MLB-020065,2026-07-14,payment,1362.28,0.00,0.00,1362.28
ST-0200104,MLB-020088,2026-07-14,payment,505.68,0.00,0.00,505.68
ST-0200134,MLB-020115,2026-07-14,payment,763.18,-190.79,-21.90,550.49
ST-0200151,MLB-020127,2026-07-14,payment,29.96,0.00,0.00,29.96
ST-0200169,MLB-020142,2026-07-14,payment,1081.27,-173.00,-39.90,868.37
ST-0200171,MLB-020144,2026-07-14,payment,1307.58,-222.29,-39.90,1045.39
ST-0200005,MLB-020007,2026-07-15,payment,32.08,-11.38,0.00,20.70
ST-0200054,MLB-020051,2026-07-15,payment,70.20,-14.67,0.00,55.53
ST-0200061,MLB-020057,2026-07-15,payment,124.27,-21.13,-21.90,81.24
ST-0200083,MLB-020072,2026-07-15,payment,4089.86,-490.78,-39.90,3559.18
ST-0200118,MLB-020102,2026-07-15,payment,2441.30,-244.13,-21.90,2175.27
ST-0200129,MLB-020110,2026-07-15,payment,252.94,0.00,0.00,252.94
ST-0200142,MLB-020121,2026-07-15,payment,35.04,-12.56,0.00,22.48
