settlement_id,order_id,settlement_date,type,gross_amount,marketplace_fee,shipping_fee,net_amount
ST-0800008,MLB-080008,2026-07-04,payment,47.59,-13.39,0.00,34.20
ST-0800099,MLB-080087,2026-07-04,payment,1610.04,-241.51,-21.90,1346.63
ST-0800181,MLB-080159,2026-07-04,payment,429.28,-68.68,-39.90,320.70
ST-0800185,MLB-080162,2026-07-04,payment,2051.52,-246.18,-21.90,1783.44
ST-0800191,MLB-080166,2026-07-04,payment,305.81,-86.65,-21.90,197.26
ST-0800217,MLB-080188,2026-07-04,payment,2142.60,-321.39,-21.90,1799.31
ST-0800010,MLB-080009,2026-07-05,payment,39.83,-14.22,0.00,25.61
ST-0800019,MLB-080016,2026-07-05,payment,54.24,-28.51,0.00,25.73
ST-0800055,MLB-080046,2026-07-05,payment,82.46,-9.90,-21.90,50.66
ST-0800058,MLB-080049,2026-07-05,payment,2074.30,-373.37,-21.90,1679.03
ST-0800065,MLB-080056,2026-07-05,payment,750.10,-75.01,-21.90,653.19
ST-0800075,MLB-080065,2026-07-05,payment,1934.50,-232.14,-21.90,1680.46
ST-0800080,MLB-080070,2026-07-05,payment,17.26,-9.36,0.00,7.90
ST-0800091,MLB-080080,2026-07-05,payment,3086.82,-524.76,-39.90,2522.16
ST-0800002,MLB-080002,2026-07-06,payment,1465.26,-161.18,-39.90,1264.18
ST-0800018,MLB-080015,2026-07-06,payment,1084.86,-173.58,-21.90,889.38
ST-0800038,MLB-080030,2026-07-06,payment,68.88,-13.83,0.00,55.05
ST-0800042,MLB-080034,2026-07-06,payment,369.84,-48.08,-21.90,299.86
ST-0800043,MLB-080035,2026-07-06,payment,23.72,-8.62,0.00,15.10
ST-0800053,MLB-080044,2026-07-06,payment,1254.69,-150.56,-21.90,1082.23
ST-0800066,MLB-080057,2026-07-06,payment,1405.32,-168.64,-39.90,1196.78
ST-0800097,MLB-080085,2026-07-06,payment,362.25,-36.23,-21.90,304.12
ST-0800113,MLB-080097,2026-07-06,payment,277.61,-41.64,-21.90,214.07
ST-0800114,MLB-080098,2026-07-06,payment,567.96,-68.16,-21.90,477.90
ST-0800143,MLB-080126,2026-07-06,payment,197.55,-42.46,-21.90,133.19
ST-0800155,MLB-080137,2026-07-06,payment,38.06,-16.40,0.00,21.66
ST-0800036,MLB-080029,2026-07-07,payment,390.62,-97.65,-21.90,271.07
ST-0800049,MLB-080040,2026-07-07,payment,329.32,-55.98,-21.90,251.44
ST-0800088,MLB-080077,2026-07-07,payment,657.08,-85.42,-21.90,549.76
ST-0800118,MLB-080103,2026-07-07,payment,73.27,-18.71,0.00,54.56
ST-0800127,MLB-080112,2026-07-07,payment,2877.06,-316.48,-39.90,2520.68
ST-0800135,MLB-080119,2026-07-07,payment,743.63,-223.09,-21.90,498.64
ST-0800166,MLB-080146,2026-07-07,payment,246.48,-29.58,-21.90,195.00
ST-0800171,MLB-080151,2026-07-07,payment,374.48,-59.92,-21.90,292.66
ST-0800007,MLB-080007,2026-07-08,payment,233.50,-28.02,-21.90,183.58
ST-0800052,MLB-080043,2026-07-08,payment,78.69,-20.41,0.00,58.28
ST-0800076,MLB-080066,2026-07-08,payment,905.21,-99.57,-39.90,765.74
ST-0800081,MLB-080071,2026-07-08,payment,216.36,-55.53,-21.90,138.93
ST-0800082,MLB-080072,2026-07-08,payment,111.00,-29.15,-21.90,59.95
ST-0800084,MLB-080073,2026-07-08,payment,74.40,-21.43,0.00,52.97
ST-0800092,MLB-080081,2026-07-08,payment,1486.27,-193.22,-21.90,1271.15
ST-0800172,MLB-080152,2026-07-08,payment,529.05,-52.91,-21.90,454.24
ST-0800203,MLB-080175,2026-07-08,payment,291.04,-87.31,-21.90,181.83
ST-0800012,MLB-080010,2026-07-09,payment,28.95,-10.01,0.00,18.94
ST-0800061,MLB-080052,2026-07-09,payment,255.00,-28.05,-21.90,205.05
ST-0800147,MLB-080129,2026-07-09,payment,371.02,-44.52,-21.90,304.60
ST-0800193,MLB-080167,2026-07-09,payment,1673.21,-250.98,-21.90,1400.33
ST-0800210,MLB-080182,2026-07-09,payment,2326.85,-279.22,-39.90,2007.73
ST-0800013,MLB-080011,2026-07-10,payment,3004.18,-360.50,-39.90,2603.78
ST-0800016,MLB-080013,2026-07-10,payment,165.07,-18.16,-21.90,125.01
ST-0800035,MLB-080028,2026-07-10,payment,674.37,-74.18,-21.90,578.29
ST-0800086,MLB-080075,2026-07-10,payment,513.87,-66.80,-21.90,425.17
ST-0800087,MLB-080076,2026-07-10,payment,87.65,-14.90,-21.90,50.85
ST-0800142,MLB-080125,2026-07-10,payment,73.53,-15.07,0.00,58.46
ST-0800152,MLB-080134,2026-07-10,payment,107.43,-32.72,-21.90,52.81
ST-0800180,MLB-080158,2026-07-10,payment,161.16,-34.87,-21.90,104.39
ST-0800196,MLB-080170,2026-07-10,payment,81.06,-20.61,-21.90,38.55
ST-0800201,MLB-080174,2026-07-10,payment,280.65,-33.68,-21.90,225.07
ST-0800009,MLB-080008,2026-07-11,refund,-23.80,6.70,0.00,-17.10
ST-0800054,MLB-080045,2026-07-11,payment,304.26,-54.77,-21.90,227.59
