order_id,order_date,status,category,listing_type,weight_class,unit_price,quantity,gross_amount,installments,refund_amount
MLB-070001,2026-07-28,paid,books,classic,standard,57.41,1,57.41,1,0.00
MLB-070002,2026-07-23,cancelled,books,premium,standard,391.69,1,391.69,6,0.00
MLB-070003,2026-07-04,delivered,toys,premium,standard,122.37,2,244.74,6,0.00
MLB-070004,2026-07-22,delivered,home,classic,standard,379.78,1,379.78,1,0.00
MLB-070005,2026-07-26,paid,books,premium,standard,361.28,1,361.28,12,0.00
MLB-070006,2026-07-25,partially_refunded,fashion,classic,standard,76.26,1,76.26,1,45.76
MLB-070007,2026-07-18,delivered,toys,classic,standard,67.73,1,67.73,3,0.00
MLB-070008,2026-07-28,delivered,books,premium,standard,177.54,2,355.08,1,0.00
MLB-070009,2026-07-12,delivered,toys,classic,standard,340.15,3,1020.45,1,0.00
MLB-070010,2026-07-05,delivered,fashion,premium,standard,244.13,1,244.13,12,0.00
MLB-070011,2026-07-24,delivered,home,classic,standard,269.60,1,269.60,3,0.00
MLB-070012,2026-07-07,delivered,fashion,classic,standard,46.74,1,46.74,1,0.00
MLB-070013,2026-07-24,paid,fashion,classic,standard,2263.25,1,2263.25,1,0.00
MLB-070014,2026-07-05,delivered,home,classic,heavy,417.85,3,1253.55,3,0.00
MLB-070015,2026-07-26,delivered,electronics,classic,heavy,1789.01,1,1789.01,3,0.00
MLB-070016,2026-07-11,delivered,books,premium,standard,360.39,1,360.39,3,0.00
MLB-070017,2026-07-13,delivered,books,classic,standard,592.82,1,592.82,1,0.00
MLB-070018,2026-07-15,refunded,books,premium,standard,228.69,1,228.69,3,228.69
MLB-070019,2026-07-14,refunded,electronics,premium,standard,52.02,1,52.02,6,52.02
MLB-070020,2026-07-16,paid,books,premium,standard,320.25,2,640.50,1,0.00
MLB-070021,2026-07-06,paid,books,classic,standard,437.38,1,437.38,1,0.00
MLB-070022,2026-07-02,delivered,home,classic,standard,33.63,1,33.63,1,0.00
MLB-070023,2026-07-28,delivered,electronics,premium,heavy,1162.79,1,1162.79,1,0.00
MLB-070024,2026-07-05,delivered,fashion,premium,standard,57.67,2,115.34,12,0.00
MLB-070025,2026-07-05,cancelled,fashion,classic,standard,75.78,1,75.78,1,0.00
MLB-070026,2026-07-10,delivered,home,classic,heavy,1204.99,3,3614.97,3,0.00
MLB-070027,2026-07-18,paid,books,premium,standard,273.36,2,546.72,6,0.00
MLB-070028,2026-07-11,delivered,fashion,premium,standard,139.23,1,139.23,3,0.00
MLB-070029,2026-07-02,paid,electronics,premium,heavy,1812.22,2,3624.44,3,0.00
MLB-070030,2026-07-08,paid,toys,classic,standard,248.28,1,248.28,1,0.00
MLB-070031,2026-07-13,paid,fashion,premium,standard,393.39,2,786.78,3,0.00
MLB-070032,2026-07-27,delivered,fashion,classic,standard,2467.68,1,2467.68,3,0.00
MLB-070033,2026-07-18,paid,electronics,classic,heavy,2476.04,1,2476.04,1,0.00
MLB-070034,2026-07-02,delivered,toys,premium,standard,2263.02,2,4526.04,3,0.00
MLB-070035,2026-07-18,delivered,toys,premium,standard,1709.92,1,1709.92,3,0.00
MLB-070036,2026-07-18,delivered,books,classic,standard,38.67,3,116.01,1,0.00
MLB-070037,2026-07-20,paid,home,premium,heavy,1684.36,1,1684.36,6,0.00
MLB-070038,2026-07-23,paid,electronics,classic,standard,282.14,1,282.14,1,0.00
MLB-070039,2026-07-28,delivered,books,premium,standard,264.82,3,794.46,10,0.00
MLB-070040,2026-07-01,delivered,toys,classic,standard,16.24,1,16.24,3,0.00
MLB-070041,2026-07-11,delivered,electronics,premium,heavy,1188.63,3,3565.89,10,0.00
MLB-070042,2026-07-27,paid,toys,premium,standard,1310.17,3,3930.51,1,0.00
MLB-070043,2026-07-13,partially_refunded,fashion,classic,standard,648.00,2,1296.00,1,777.60
MLB-070044,2026-07-24,delivered,books,premium,standard,52.25,3,156.75,1,0.00
MLB-070045,2026-07-13,paid,books,classic,standard,41.99,1,41.99,3,0.00
MLB-070046,2026-07-17,refunded,fashion,premium,standard,78.38,2,156.76,12,156.76
MLB-070047,2026-07-22,paid,books,premium,standard,1374.31,2,2748.62,1,0.00
MLB-070048,2026-07-23,paid,home,classic,standard,213.56,1,213.56,1,0.00
MLB-070049,2026-07-16,partially_refunded,toys,classic,standard,29.95,1,29.95,1,17.97
MLB-070050,2026-07-04,delivered,toys,premium,standard,71.87,3,215.61,1,0.00
MLB-070051,2026-07-13,paid,fashion,classic,standard,434.85,2,869.70,1,0.00
MLB-070052,2026-07-22,delivered,electronics,classic,heavy,1905.44,1,1905.44,1,0.00
MLB-070053,2026-07-03,paid,home,classic,standard,23.27,1,23.27,1,0.00
MLB-070054,2026-07-05,cancelled,books,premium,standard,135.15,1,135.15,6,0.00
MLB-070055,2026-07-21,delivered,toys,premium,standard,128.20,3,384.60,3,0.00
MLB-070056,2026-07-22,paid,books,classic,standard,577.83,3,1733.49,1,0.00
MLB-070057,2026-07-04,paid,books,premium,standard,211.19,1,211.19,1,0.00
MLB-070058,2026-07-06,refunded,books,classic,standard,215.93,1,215.93,3,215.93
MLB-070059,2026-07-12,delivered,home,classic,heavy,2087.26,3,6261.78,1,0.00
MLB-070060,2026-07-15,delivered,electronics,premium,standard,348.08,3,1044.24,12,0.00
MLB-070061,2026-07-06,delivered,electronics,classic,standard,113.30,1,113.30,1,0.00
MLB-070062,2026-07-14,delivered,electronics,classic,standard,43.92,1,43.92,3,0.00
MLB-070063,2026-07-16,paid,books,classic,standard,906.64,1,906.64,1,0.00
MLB-070064,2026-07-08,delivered,toys,premium,standard,1173.78,2,2347.56,10,0.00
MLB-070065,2026-07-12,delivered,books,classic,standard,274.44,3,823.32,1,0.00
MLB-070066,2026-07-03,delivered,books,premium,standard,195.50,1,195.50,10,0.00
MLB-070067,2026-07-02,cancelled,home,premium,standard,77.33,1,77.33,3,0.00
MLB-070068,2026-07-22,delivered,home,premium,heavy,1786.06,1,1786.06,10,0.00
MLB-070069,2026-07-15,partially_refunded,toys,classic,standard,1383.95,1,1383.95,3,415.19
MLB-070070,2026-07-24,delivered,electronics,classic,standard,308.04,1,308.04,1,0.00
MLB-070071,2026-07-14,delivered,fashion,classic,standard,2440.54,3,7321.62,1,0.00
